surname,forename,initials,age_text,honours_awards,date_of_death,date_of_death2,rank,regiment,unitshipsquadron,country,servicenumberExport,cemeterymemorial,gravereference,additionalinformation
SWINDEN,ALBERT E.,A E,,,29/09/1916,,Private,Durham Light Infantry,20th Bn.,France,'30300',THIEPVAL MEMORIAL,Pier and Face 14 A and 15 C.,
SWINDEN,ARTHUR,A,20,,31/05/1940,02/06/1940,Private,Duke of Wellington's (West Riding Regiment),1st Bn.,France,'4615314',DUNKIRK MEMORIAL,Column 62.,
SWINDEN,,C,,,27/04/1918,,Corporal,Army Service Corps,406th M.T. Coy.,Belgium,'DM2/155533',TYNE COT MEMORIAL,Panel 160.,
SWINDEN,,E F,25,,21/09/1916,,Private,Norfolk Regiment,2nd Bn.,United Kingdom,'8283',MORDEN CEMETERY,Screen Wall. N. 536.,"SON OF WALTER AND SARAH SWINDEN, OF 35, RAYLEIGH RD., WEST KENSINGTON, LONDON."
SWINDEN,FREDERICK L.,F L,20,,08/11/1917,,Corporal,Canadian Field Artillery,2nd Bde.,Belgium,'41889',BRANDHOEK NEW MILITARY CEMETERY NO.3,II. N. 4.,"SON OF JAMES SWINDEN, OF 1404, MESSIER ST., MONTREAL, CANADA."
SWINDEN,GEORGE STEPHEN,G S,23,,01/09/1916,,Serjeant,Royal Berkshire Regiment,8th Bn.,France,'14719',THIEPVAL MEMORIAL,Pier and Face 11 D.,"SON OF ALICE SWINDEN, OF 104, ST. ALBANS RD., SMETHWICK, BIRMINGHAM, AND THE LATE GEORGE SWINDEN."
SWINDEN,HAROLD ALWIN,H A,25,,19/04/1944,,Flying Officer,Royal Canadian Air Force,,Canada,'J/27045',TORONTO (MOUNT PLEASANT) CEMETERY,Plot 16. Lot 16.,"SON OF JOHN BLUNT SWINDEN AND ANN ISABEL SWINDEN; BROTHER OF FREDERICK A. SWINDEN, OF TORONTO."
SWINDEN,JAMES SYDNEY,J S,26,,15/04/1918,,Private,Cheshire Regiment,2nd Bn.,Greece,'315439',DOIRAN MEMORIAL,,"SON OF FRANCIS AND FANNY SWINDEN, OF 3, DERBY COTTAGE, LEE ST., HORLEY, SURREY."
SWINDEN,JOSEPH,J,,,31/12/1942,,Ordinary Seaman,Royal Navy,H.M.S. Achates,United Kingdom,'C/JX 318780',CHATHAM NAVAL MEMORIAL,"58, 1.",
SWINDEN,,T,,,08/08/1917,,Private,East Yorkshire Regiment,11th Bn.,Germany,'11/612',BERLIN SOUTH-WESTERN CEMETERY,XVI. C. 10.,
SWINDEN,THOMAS MOORE,T M,,,17/09/1916,,Private,London Regiment,1st/24th Bn.,France,'1817',THIEPVAL MEMORIAL,Pier and Face 9 D  9 C  13 C and 12 C.,
SWINDEN,WILLIAM,W,,,29/09/1916,,Private,York and Lancaster Regiment,6th Bn.,France,'313855',THIEPVAL MEMORIAL,Pier and Face 14 A and 14 B.,
SWINDEN,WILLIAM H.,W H,,,16/09/1916,,Private,Durham Light Infantry,15th Bn.,France,'24966',THIEPVAL MEMORIAL,Pier and Face 14 A and 15 C.,
